18/11/25 05:39:35 INFO client.RMProxy: Connecting to ResourceManager at master/172.16.1.1:8032
18/11/25 05:39:36 INFO input.FileInputFormat: Total input paths to process : 32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: number of splits:32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1543099092534_0033
18/11/25 05:39:36 INFO impl.YarnClientImpl: Submitted application application_1543099092534_0033
18/11/25 05:39:36 INFO mapreduce.Job: The url to track the job: http://master:8088/proxy/application_1543099092534_0033/
18/11/25 05:39:36 INFO mapreduce.Job: Running job: job_1543099092534_0033
18/11/25 05:39:44 INFO mapreduce.Job: Job job_1543099092534_0033 running in uber mode : false
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=2351564340
		HDFS: Number of bytes written=8283411
		HDFS: Number of read operations=99
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=2
		Launched map tasks=34
		Launched reduce tasks=1
		Data-local map tasks=34
		Total time spent by all maps in occupied slots (ms)=13319288
		Total time spent by all reduces in occupied slots (ms)=1006692
		Total time spent by all map tasks (ms)=13319288
		Total time spent by all reduce tasks (ms)=1006692
		Total vcore-seconds taken by all map tasks=13319288
		Total vcore-seconds taken by all reduce tasks=1006692
		Total megabyte-seconds taken by all map tasks=13638950912
		Total megabyte-seconds taken by all reduce tasks=1030852608
	Map-Reduce Framework
		Map input records=63491700
		Map output records=400959630
		Map output bytes=6102730639
		Map output materialized bytes=6904650091
		Input split bytes=3639
		Combine input records=0
		Combine output records=0
		Reduce input groups=30193
		Reduce shuffle bytes=6904650091
		Reduce input records=400959630
		Reduce output records=30193
		Spilled Records=1513281219
		Shuffled Maps =32
		Failed Shuffles=0
		Merged Map outputs=32
		GC time elapsed (ms)=49965
		CPU time spent (ms)=2396790
		Physical memory (bytes) snapshot=6669414400
		Virtual memory (bytes) snapshot=68636794880
		Total committed heap usage (bytes)=4964614144
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=2351560701
	File Output Format Counters 
		Bytes Written=8283411
